iter	Passed	Remaining
415	2944	4132
416	2950	4125
417	2957	4117
418	2963	4109
419	2970	4101
420	2977	4094
421	2983	4086
422	2991	4080
423	2997	4072
424	3004	4064
425	3011	4057
426	3017	4049
427	3023	4041
428	3030	4033
429	3037	4026
430	3043	4018
431	3050	4011
432	3057	4003
433	3067	3999
434	3073	3991
435	3079	3983
436	3086	3975
437	3092	3968
438	3099	3960
439	3105	3952
440	3112	3945
441	3118	3937
442	3124	3929
443	3130	3920
444	3137	3913
445	3143	3904
446	3150	3897
447	3156	3889
448	3163	3881
449	3169	3873
450	3176	3866
451	3182	3858
452	3189	3850
453	3195	3843
454	3202	3835
455	3208	3827
456	3215	3820
457	3221	3812
458	3228	3805
459	3239	3802
460	3245	3795
461	3252	3787
462	3258	3779
463	3265	3772
464	3272	3765
465	3279	3757
466	3285	3749
467	3292	3742
468	3299	3735
469	3305	3727
470	3314	3722
471	3322	3716
472	3330	3710
473	3337	3703
474	3345	3697
475	3352	3691
476	3360	3684
477	3367	3677
478	3374	3670
479	3382	3664
480	3389	3657
481	3397	3651
482	3407	3647
483	3414	3640
484	3421	3632
485	3429	3626
486	3435	3619
487	3443	3612
488	3450	3605
489	3456	3597
490	3462	3589
491	3469	3582
492	3476	3574
493	3483	3567
494	3489	3560
495	3496	3552
496	3503	3546
497	3510	3538
498	3517	3531
499	3523	3523
500	3530	3516
501	3537	3509
502	3544	3501
503	3550	3493
504	3556	3486
505	3563	3478
506	3569	3470
507	3578	3466
508	3584	3458
509	3592	3451
510	3599	3444
511	3606	3436
512	3613	3430
513	3620	3422
514	3626	3415
515	3633	3408
516	3640	3401
517	3647	3394
518	3654	3387
519	3661	3379
520	3667	3371
521	3674	3365
522	3682	3358
523	3690	3352
524	3696	3344
525	3703	3337
526	3712	3331
527	3718	3324
528	3727	3318
529	3733	3311
530	3743	3306
531	3751	3299
532	3757	3292
533	3765	3286
534	3772	3279
535	3780	3272
536	3788	3266
537	3795	3259
538	3803	3252
539	3810	3246
540	3818	3239
541	3827	3233
542	3834	3227
543	3842	3221
544	3849	3213
545	3856	3206
546	3864	3200
547	3872	3193
548	3879	3186
549	3885	3179
550	3892	3172
551	3900	3165
552	3907	3158
553	3917	3154
554	3924	3147
555	3931	3139
556	3939	3132
557	3946	3126
558	3954	3119
559	3961	3112
560	3968	3105
561	3976	3099
562	3983	3092
563	3991	3085
564	3998	3078
565	4004	3070
566	4013	3064
567	4019	3057
568	4026	3049
569	4033	3042
570	4039	3035
571	4047	3028
572	4054	3021
573	4061	3014
574	4069	3007
575	4077	3001
576	4086	2996
577	4094	2989
578	4101	2982
579	4109	2975
580	4115	2968
581	4122	2960
582	4130	2954
583	4137	2947
584	4144	2940
585	4151	2932
586	4159	2926
587	4167	2920
588	4174	2912
589	4181	2906
590	4188	2898
591	4195	2891
592	4203	2884
593	4210	2877
594	4217	2870
595	4224	2863
596	4232	2856
597	4240	2850
598	4247	2843
599	4258	2839
600	4266	2832
601	4273	2825
602	4281	2818
603	4288	2811
604	4296	2805
605	4302	2797
606	4309	2790
607	4317	2783
608	4323	2775
609	4330	2768
610	4338	2762
611	4346	2755
612	4354	2748
613	4361	2741
614	4368	2734
615	4375	2727
616	4382	2720
617	4390	2714
618	4397	2706
619	4403	2699
620	4411	2692
621	4418	2685
622	4428	2679
623	4435	2672
624	4441	2664
625	4448	2657
626	4455	2650
627	4463	2643
628	4470	2636
629	4477	2629
630	4485	2622
631	4492	2616
632	4500	2609
633	4508	2602
634	4514	2595
635	4522	2588
636	4529	2581
637	4536	2574
638	4543	2566
639	4549	2559
640	4558	2553
641	4568	2547
642	4574	2540
643	4582	2533
644	4588	2525
645	4598	2519
646	4605	2512
647	4611	2505
648	4619	2498
649	4626	2490
650	4632	2483
651	4640	2476
652	4648	2469
653	4654	2462
654	4660	2454
655	4667	2447
656	4674	2440
657	4681	2432
658	4689	2426
659	4697	2419
660	4704	2412
661	4711	2405
662	4718	2398
663	4724	2390
664	4731	2383
665	4739	2376
666	4746	2369
667	4753	2362
668	4759	2354
669	4768	2348
670	4775	2341
671	4782	2334
672	4789	2327
673	4796	2319
674	4803	2313
675	4811	2306
676	4818	2298
677	4825	2291
678	4832	2284
679	4839	2277
680	4846	2270
681	4853	2262
682	4859	2255
683	4867	2248
684	4875	2241
685	4882	2234
686	4889	2227
687	4895	2220
688	4902	2213
689	4909	2205
690	4918	2199
691	4925	2192
692	4931	2184
693	4941	2178
694	4948	2171
695	4955	2164
696	4962	2157
697	4968	2149
698	4977	2143
699	4983	2135
700	4991	2128
701	4997	2121
702	5003	2113
703	5010	2106
704	5017	2099
705	5023	2091
706	5029	2084
707	5035	2076
708	5042	2069
709	5049	2062
710	5055	2054
711	5062	2047
712	5068	2040
713	5075	2033
714	5082	2026
715	5089	2018
716	5095	2011
717	5101	2003
718	5111	1997
719	5118	1990
720	5123	1982
721	5131	1975
722	5138	1968
723	5145	1961
724	5152	1954
725	5158	1947
726	5165	1939
727	5172	1932
728	5179	1925
729	5185	1918
730	5192	1910
731	5198	1903
732	5206	1896
733	5212	1889
734	5219	1881
735	5225	1874
736	5232	1867
737	5239	1859
738	5250	1854
739	5261	1848
740	5270	1842
741	5278	1835
742	5285	1828
743	5291	1820
744	5300	1814
745	5306	1806
746	5313	1799
747	5317	1791
748	5323	1784
749	5330	1776
750	5336	1769
751	5343	1762
752	5350	1754
753	5357	1747
754	5364	1740
755	5371	1733
756	5379	1726
757	5387	1720
758	5395	1713
759	5402	1706
760	5409	1699
761	5417	1691
762	5423	1684
763	5431	1677
764	5438	1670
765	5447	1663
766	5454	1657
767	5461	1649
768	5468	1642
769	5474	1635
770	5481	1627
771	5488	1620
772	5498	1614
773	5504	1607
774	5512	1600
775	5519	1593
776	5526	1586
777	5534	1579
778	5542	1572
779	5549	1565
780	5556	1558
781	5564	1551
782	5572	1544
783	5580	1537
784	5589	1530
785	5595	1523
786	5604	1516
787	5613	1510
788	5626	1504
789	5635	1497
790	5666	1497
791	5679	1491
792	5688	1484
793	5698	1478
794	5743	1481
795	5753	1474
796	5763	1468
797	5808	1470
798	5819	1464
799	5829	1457
800	5856	1455
801	5867	1448
802	5877	1441
803	5884	1434
804	5890	1426
805	5897	1419
806	5904	1412
807	5911	1404
808	5917	1397
809	5924	1389
810	5931	1382
811	5937	1374
812	5944	1367
813	5950	1359
814	5957	1352
815	5963	1344
816	5972	1337
817	5978	1330
818	5988	1323
819	5995	1316
820	6003	1308
821	6009	1301
822	6016	1293
823	6022	1286
824	6029	1279
825	6036	1271
826	6042	1264
827	6049	1256
828	6056	1249
829	6063	1241
830	6070	1234
831	6076	1226
832	6082	1219
833	6089	1212
834	6095	1204
835	6102	1197
836	6108	1189
837	6114	1182
838	6121	1174
839	6127	1167
840	6133	1159
841	6140	1152
842	6147	1144
843	6154	1137
844	6164	1130
845	6169	1122
846	6175	1115
847	6182	1108
848	6188	1100
849	6194	1093
850	6200	1085
851	6207	1078
852	6214	1070
853	6220	1063
854	6227	1056
855	6233	1048
856	6239	1041
857	6246	1033
858	6252	1026
859	6259	1018
860	6265	1011
861	6272	1004
862	6278	996
863	6284	989
864	6291	981
865	6297	974
866	6304	967
867	6311	959
868	6317	952
869	6324	944
870	6330	937
871	6337	930
872	6347	923
873	6353	915
874	6360	908
875	6366	901
876	6372	893
877	6382	886
878	6391	879
879	6398	872
880	6404	865
881	6411	857
882	6418	850
883	6424	843
884	6431	835
885	6440	828
886	6451	821
887	6459	814
888	6466	807
889	6472	799
890	6478	792
891	6484	785
892	6490	777
893	6497	770
894	6503	762
895	6509	755
896	6519	748
897	6525	741
898	6532	733
899	6538	726
900	6545	719
901	6552	711
902	6559	704
903	6565	697
904	6571	689
905	6577	682
906	6584	675
907	6590	667
908	6596	660
909	6603	653
910	6609	645
911	6616	638
912	6622	631
913	6628	623
914	6634	616
915	6643	609
916	6649	601
917	6655	594
918	6662	587
919	6668	579
920	6674	572
921	6684	565
922	6690	558
923	6697	550
924	6704	543
925	6710	536
926	6717	529
927	6723	521
928	6730	514
929	6738	507
930	6743	499
931	6750	492
932	6756	485
933	6762	477
934	6769	470
935	6775	463
936	6782	456
937	6788	448
938	6795	441
939	6798	433
940	6804	426
941	6811	419
942	6818	412
943	6825	404
944	6830	397
945	6837	390
946	6844	383
947	6853	375
948	6859	368
949	6866	361
950	6872	354
951	6879	346
952	6885	339
953	6892	332
954	6898	325
